Entity,Code,Year,Oil - Crude prices since 1861 (current $)
World,OWID_WRL,1861,0.49000000953674316
World,OWID_WRL,1862,1.0499999523162842
World,OWID_WRL,1863,3.1500000953674316
World,OWID_WRL,1864,8.0600004196167
World,OWID_WRL,1865,6.590000152587891
World,OWID_WRL,1866,3.740000009536743
World,OWID_WRL,1867,2.4100000858306885
World,OWID_WRL,1868,3.630000114440918
World,OWID_WRL,1869,3.640000104904175
World,OWID_WRL,1870,3.859999895095825
World,OWID_WRL,1871,4.340000152587891
World,OWID_WRL,1872,3.640000104904175
World,OWID_WRL,1873,1.8300000429153442
World,OWID_WRL,1874,1.1699999570846558
World,OWID_WRL,1875,1.350000023841858
World,OWID_WRL,1876,2.559999942779541
World,OWID_WRL,1877,2.4200000762939453
World,OWID_WRL,1878,1.190000057220459
World,OWID_WRL,1879,0.8600000143051147
World,OWID_WRL,1880,0.949999988079071
World,OWID_WRL,1881,0.8600000143051147
World,OWID_WRL,1882,0.7799999713897705
World,OWID_WRL,1883,1
World,OWID_WRL,1884,0.8399999737739563
World,OWID_WRL,1885,0.8799999952316284
World,OWID_WRL,1886,0.7099999785423279
World,OWID_WRL,1887,0.6700000166893005
World,OWID_WRL,1888,0.8799999952316284
World,OWID_WRL,1889,0.9399999976158142
World,OWID_WRL,1890,0.8700000047683716
World,OWID_WRL,1891,0.6700000166893005
World,OWID_WRL,1892,0.5600000023841858
World,OWID_WRL,1893,0.6399999856948853
World,OWID_WRL,1894,0.8399999737739563
World,OWID_WRL,1895,1.3600000143051147
World,OWID_WRL,1896,1.1799999475479126
World,OWID_WRL,1897,0.7900000214576721
World,OWID_WRL,1898,0.9100000262260437
World,OWID_WRL,1899,1.2899999618530273
World,OWID_WRL,1900,1.190000057220459
World,OWID_WRL,1901,0.9599999785423279
World,OWID_WRL,1902,0.800000011920929
World,OWID_WRL,1903,0.9399999976158142
World,OWID_WRL,1904,0.8600000143051147
World,OWID_WRL,1905,0.6200000047683716
World,OWID_WRL,1906,0.7300000190734863
World,OWID_WRL,1907,0.7200000286102295
World,OWID_WRL,1908,0.7200000286102295
World,OWID_WRL,1909,0.699999988079071
World,OWID_WRL,1910,0.6100000143051147
World,OWID_WRL,1911,0.6100000143051147
World,OWID_WRL,1912,0.7400000095367432
World,OWID_WRL,1913,0.949999988079071
World,OWID_WRL,1914,0.8100000023841858
World,OWID_WRL,1915,0.6399999856948853
World,OWID_WRL,1916,1.100000023841858
World,OWID_WRL,1917,1.559999942779541
World,OWID_WRL,1918,1.9800000190734863
World,OWID_WRL,1919,2.009999990463257
World,OWID_WRL,1920,3.069999933242798
World,OWID_WRL,1921,1.7300000190734863
World,OWID_WRL,1922,1.6100000143051147
World,OWID_WRL,1923,1.340000033378601
World,OWID_WRL,1924,1.4299999475479126
World,OWID_WRL,1925,1.6799999475479126
World,OWID_WRL,1926,1.8799999952316284
World,OWID_WRL,1927,1.2999999523162842
World,OWID_WRL,1928,1.1699999570846558
World,OWID_WRL,1929,1.2699999809265137
World,OWID_WRL,1930,1.190000057220459
World,OWID_WRL,1931,0.6499999761581421
World,OWID_WRL,1932,0.8700000047683716
World,OWID_WRL,1933,0.6700000166893005
World,OWID_WRL,1934,1
World,OWID_WRL,1935,0.9700000286102295
World,OWID_WRL,1936,1.090000033378601
World,OWID_WRL,1937,1.1799999475479126
World,OWID_WRL,1938,1.1299999952316284
World,OWID_WRL,1939,1.0199999809265137
World,OWID_WRL,1940,1.0199999809265137
World,OWID_WRL,1941,1.1399999856948853
World,OWID_WRL,1942,1.190000057220459
World,OWID_WRL,1943,1.2000000476837158
World,OWID_WRL,1944,1.2100000381469727
World,OWID_WRL,1945,1.0499999523162842
World,OWID_WRL,1946,1.1200000047683716
World,OWID_WRL,1947,1.899999976158142
World,OWID_WRL,1948,1.9900000095367432
World,OWID_WRL,1949,1.7799999713897705
World,OWID_WRL,1950,1.7100000381469727
World,OWID_WRL,1951,1.7100000381469727
World,OWID_WRL,1952,1.7100000381469727
World,OWID_WRL,1953,1.9299999475479126
World,OWID_WRL,1954,1.9299999475479126
World,OWID_WRL,1955,1.9299999475479126
World,OWID_WRL,1956,1.9299999475479126
World,OWID_WRL,1957,1.899999976158142
World,OWID_WRL,1958,2.0799999237060547
World,OWID_WRL,1959,2.0799999237060547
World,OWID_WRL,1960,1.899999976158142
World,OWID_WRL,1961,1.7999999523162842
World,OWID_WRL,1962,1.7999999523162842
World,OWID_WRL,1963,1.7999999523162842
World,OWID_WRL,1964,1.7999999523162842
World,OWID_WRL,1965,1.7999999523162842
World,OWID_WRL,1966,1.7999999523162842
World,OWID_WRL,1967,1.7999999523162842
World,OWID_WRL,1968,1.7999999523162842
World,OWID_WRL,1969,1.7999999523162842
World,OWID_WRL,1970,1.7999999523162842
World,OWID_WRL,1971,2.240000009536743
World,OWID_WRL,1972,2.4800000190734863
World,OWID_WRL,1973,3.2899999618530273
World,OWID_WRL,1974,11.579999923706055
World,OWID_WRL,1975,11.529999732971191
World,OWID_WRL,1976,12.800000190734863
World,OWID_WRL,1977,13.920000076293945
World,OWID_WRL,1978,14.020000457763672
World,OWID_WRL,1979,31.610000610351562
World,OWID_WRL,1980,36.83000183105469
