Date,Close
02/01/1970 16:00:00,93
05/01/1970 16:00:00,93.46
06/01/1970 16:00:00,92.82
07/01/1970 16:00:00,92.63
08/01/1970 16:00:00,92.68
09/01/1970 16:00:00,92.4
12/01/1970 16:00:00,91.7
13/01/1970 16:00:00,91.92
14/01/1970 16:00:00,91.65
15/01/1970 16:00:00,91.68
16/01/1970 16:00:00,90.92
19/01/1970 16:00:00,89.65
20/01/1970 16:00:00,89.83
21/01/1970 16:00:00,89.95
22/01/1970 16:00:00,90.04
23/01/1970 16:00:00,89.37
26/01/1970 16:00:00,88.17
27/01/1970 16:00:00,87.62
28/01/1970 16:00:00,86.79
29/01/1970 16:00:00,85.69
30/01/1970 16:00:00,85.02
02/02/1970 16:00:00,85.75
03/02/1970 16:00:00,86.77
04/02/1970 16:00:00,86.24
05/02/1970 16:00:00,85.9
06/02/1970 16:00:00,86.33
09/02/1970 16:00:00,87.01
10/02/1970 16:00:00,86.1
11/02/1970 16:00:00,86.94
12/02/1970 16:00:00,86.73
13/02/1970 16:00:00,86.54
16/02/1970 16:00:00,86.47
17/02/1970 16:00:00,86.37
18/02/1970 16:00:00,87.44
19/02/1970 16:00:00,87.76
20/02/1970 16:00:00,88.03
24/02/1970 16:00:00,87.99
25/02/1970 16:00:00,89.35
26/02/1970 16:00:00,88.9
27/02/1970 16:00:00,89.5
02/03/1970 16:00:00,89.71
03/03/1970 16:00:00,90.23
04/03/1970 16:00:00,90.04
05/03/1970 16:00:00,90
06/03/1970 16:00:00,89.44
09/03/1970 16:00:00,88.51
10/03/1970 16:00:00,88.75
11/03/1970 16:00:00,88.69
12/03/1970 16:00:00,88.33
13/03/1970 16:00:00,87.86
16/03/1970 16:00:00,86.91
17/03/1970 16:00:00,87.29
18/03/1970 16:00:00,87.54
19/03/1970 16:00:00,87.42
20/03/1970 16:00:00,87.06
23/03/1970 16:00:00,86.99
24/03/1970 16:00:00,87.98
25/03/1970 16:00:00,89.77
26/03/1970 16:00:00,89.92
30/03/1970 16:00:00,89.63
31/03/1970 16:00:00,89.63
01/04/1970 16:00:00,90.07
02/04/1970 16:00:00,89.79
03/04/1970 16:00:00,89.39
06/04/1970 16:00:00,88.76
07/04/1970 16:00:00,88.52
08/04/1970 16:00:00,88.49
09/04/1970 16:00:00,88.53
10/04/1970 16:00:00,88.24
13/04/1970 16:00:00,87.64
14/04/1970 16:00:00,86.89
15/04/1970 16:00:00,86.73
16/04/1970 16:00:00,85.88
17/04/1970 16:00:00,85.67
20/04/1970 16:00:00,85.83
21/04/1970 16:00:00,85.38
22/04/1970 16:00:00,84.27
23/04/1970 16:00:00,83.04
24/04/1970 16:00:00,82.77
27/04/1970 16:00:00,81.46
28/04/1970 16:00:00,80.27
29/04/1970 16:00:00,81.81
30/04/1970 16:00:00,81.52
01/05/1970 16:00:00,81.44
04/05/1970 16:00:00,79.37
05/05/1970 16:00:00,78.6
06/05/1970 16:00:00,79.47
07/05/1970 16:00:00,79.83
08/05/1970 16:00:00,79.44
11/05/1970 16:00:00,78.6
12/05/1970 16:00:00,77.85
13/05/1970 16:00:00,76.53
14/05/1970 16:00:00,75.44
15/05/1970 16:00:00,76.9
18/05/1970 16:00:00,76.96
19/05/1970 16:00:00,75.46
20/05/1970 16:00:00,73.52
21/05/1970 16:00:00,72.16
22/05/1970 16:00:00,72.25
25/05/1970 16:00:00,70.25
26/05/1970 16:00:00,69.29
27/05/1970 16:00:00,72.77
28/05/1970 16:00:00,74.61
29/05/1970 16:00:00,76.55
01/06/1970 16:00:00,77.84
02/06/1970 16:00:00,77.84
03/06/1970 16:00:00,78.52
04/06/1970 16:00:00,77.36
05/06/1970 16:00:00,76.17
08/06/1970 16:00:00,76.29
09/06/1970 16:00:00,76.25
10/06/1970 16:00:00,75.48
11/06/1970 16:00:00,74.45
12/06/1970 16:00:00,73.88
15/06/1970 16:00:00,74.58
16/06/1970 16:00:00,76.15
17/06/1970 16:00:00,76
18/06/1970 16:00:00,76.51
19/06/1970 16:00:00,77.05
22/06/1970 16:00:00,76.64
23/06/1970 16:00:00,74.76
24/06/1970 16:00:00,73.97
25/06/1970 16:00:00,74.02
26/06/1970 16:00:00,73.47
29/06/1970 16:00:00,72.89
30/06/1970 16:00:00,72.72
01/07/1970 16:00:00,72.94
02/07/1970 16:00:00,72.92
06/07/1970 16:00:00,71.78
07/07/1970 16:00:00,71.23
08/07/1970 16:00:00,73
09/07/1970 16:00:00,74.06
10/07/1970 16:00:00,74.45
13/07/1970 16:00:00,74.55
14/07/1970 16:00:00,74.42
15/07/1970 16:00:00,75.23
16/07/1970 16:00:00,76.34
17/07/1970 16:00:00,77.69
20/07/1970 16:00:00,77.79
21/07/1970 16:00:00,76.98
22/07/1970 16:00:00,77.03
23/07/1970 16:00:00,78
24/07/1970 16:00:00,77.82
27/07/1970 16:00:00,77.65
28/07/1970 16:00:00,77.77
29/07/1970 16:00:00,78.04
30/07/1970 16:00:00,78.07
31/07/1970 16:00:00,78.05
03/08/1970 16:00:00,77.02
04/08/1970 16:00:00,77.19
05/08/1970 16:00:00,77.18
06/08/1970 16:00:00,77.08
07/08/1970 16:00:00,77.28
10/08/1970 16:00:00,76.2
11/08/1970 16:00:00,75.82
12/08/1970 16:00:00,75.42
13/08/1970 16:00:00,74.76
14/08/1970 16:00:00,75.18
17/08/1970 16:00:00,75.33
18/08/1970 16:00:00,76.2
19/08/1970 16:00:00,76.96
20/08/1970 16:00:00,77.84
21/08/1970 16:00:00,79.24
24/08/1970 16:00:00,80.99
25/08/1970 16:00:00,81.12
26/08/1970 16:00:00,81.21
27/08/1970 16:00:00,81.08
28/08/1970 16:00:00,81.86
